2026/08/28 17:34:11 Starting server on port 8080...
2026/08/28 17:37:49 [pop-os/LyypU2jPiL-000001] "POST http://localhost:8080/api/v1/auth/login HTTP/1.1" from [::1]:33130 - 200 375B in 199.537µs
2026/08/28 17:37:49 [pop-os/LyypU2jPiL-000002] "OPTIONS http://localhost:8080/api/v1/reports/dashboard HTTP/1.1" from [::1]:33134 - 200 0B in 13.183µs
2026/08/28 17:37:49 [pop-os/LyypU2jPiL-000003] "GET http://localhost:8080/api/v1/reports/dashboard HTTP/1.1" from [::1]:33134 - 200 612B in 151.332µs
2026/08/28 17:39:55 [pop-os/LyypU2jPiL-000004] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:42448 - 200 612B in 170.897µs
2026/08/28 17:40:03 [pop-os/LyypU2jPiL-000005] "GET http://localhost:8080/api/v1/attendance/daily HTTP/1.1" from [::1]:43302 - 200 612B in 142.06µs
2026/08/28 17:41:07 [pop-os/LyypU2jPiL-000006] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:60164 - 200 612B in 240.418µs
2026/08/28 17:41:15 [pop-os/LyypU2jPiL-000007] "POST http://localhost:8080/api/v1/attendance/punch HTTP/1.1" from [::1]:60178 - 201 140B in 162.269µs
2026/08/28 17:41:15 [pop-os/LyypU2jPiL-000008] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:60180 - 200 612B in 173.209µs
2026/08/28 17:41:33 [pop-os/LyypU2jPiL-000009] "POST http://localhost:8080/api/v1/attendance/punch HTTP/1.1" from [::1]:55296 - 201 140B in 87.112µs
2026/08/28 17:41:33 [pop-os/LyypU2jPiL-000010] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:55312 - 200 612B in 101.43µs
2026/08/28 17:41:44 [pop-os/LyypU2jPiL-000011] "GET http://localhost:8080/api/v1/attendance/daily HTTP/1.1" from [::1]:39010 - 200 612B in 90.059µs
2026/08/28 17:42:38 [pop-os/LyypU2jPiL-000012] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:51216 - 200 612B in 92.648µs
2026/08/28 17:42:38 [pop-os/LyypU2jPiL-000013] "GET http://localhost:8080/api/v1/attendance/daily HTTP/1.1" from [::1]:51232 - 200 612B in 74.562µs
2026/08/28 17:42:43 [pop-os/LyypU2jPiL-000015] "GET http://localhost:8080/api/v1/employees/stats HTTP/1.1" from [::1]:51256 - 200 102B in 2.337446ms
2026/08/28 17:42:43 [pop-os/LyypU2jPiL-000014] "GET http://localhost:8080/api/v1/employees HTTP/1.1" from [::1]:51242 - 200 733B in 2.903337ms
2026/08/28 17:42:43 [pop-os/LyypU2jPiL-000016] "GET http://localhost:8080/api/v1/attendance/daily HTTP/1.1" from [::1]:51260 - 200 612B in 90.007µs
2026/08/28 17:42:46 [pop-os/LyypU2jPiL-000017] "GET http://localhost:8080/api/v1/employees HTTP/1.1" from [::1]:34086 - 200 733B in 1.930637ms
2026/08/28 17:42:46 [pop-os/LyypU2jPiL-000018] "GET http://localhost:8080/api/v1/employees/stats HTTP/1.1" from [::1]:34092 - 200 102B in 1.704234ms
2026/08/28 17:42:47 [pop-os/LyypU2jPiL-000019] "OPTIONS http://localhost:8080/api/v1/leave/balances HTTP/1.1" from [::1]:34106 - 200 0B in 12.291µs
2026/08/28 17:42:47 [pop-os/LyypU2jPiL-000020] "OPTIONS http://localhost:8080/api/v1/leave/applications HTTP/1.1" from [::1]:34106 - 200 0B in 7.85µs
2026/08/28 17:42:47 [pop-os/LyypU2jPiL-000021] "GET http://localhost:8080/api/v1/leave/balances HTTP/1.1" from [::1]:34106 - 200 271B in 119.849µs
2026/08/28 17:42:47 [pop-os/LyypU2jPiL-000022] "GET http://localhost:8080/api/v1/leave/applications HTTP/1.1" from [::1]:34110 - 200 206B in 86.081µs
2026/08/28 17:42:47 [pop-os/LyypU2jPiL-000023] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:34124 - 200 612B in 93.065µs
2026/08/28 17:42:48 [pop-os/LyypU2jPiL-000024] "OPTIONS http://localhost:8080/api/v1/payroll/payslips HTTP/1.1" from [::1]:34110 - 200 0B in 28.645µs
2026/08/28 17:42:48 [pop-os/LyypU2jPiL-000025] "GET http://localhost:8080/api/v1/payroll/payslips HTTP/1.1" from [::1]:34110 - 200 338B in 170.623µs
2026/08/28 17:42:50 [pop-os/LyypU2jPiL-000026] "GET http://localhost:8080/api/v1/payroll/payslips HTTP/1.1" from [::1]:34110 - 200 338B in 84.235µs
2026/08/28 17:42:51 [pop-os/LyypU2jPiL-000027] "GET http://localhost:8080/api/v1/leave/balances HTTP/1.1" from [::1]:34110 - 200 271B in 70.671µs
2026/08/28 17:42:51 [pop-os/LyypU2jPiL-000028] "GET http://localhost:8080/api/v1/leave/applications HTTP/1.1" from [::1]:34106 - 200 206B in 54.606µs
2026/08/28 17:42:56 [pop-os/LyypU2jPiL-000029] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:46882 - 200 612B in 86.082µs
2026/08/28 17:42:58 [pop-os/LyypU2jPiL-000030] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:46894 - 200 612B in 109.254µs
2026/08/28 17:42:58 [pop-os/LyypU2jPiL-000031] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:46900 - 200 612B in 93.035µs
2026/08/28 17:43:00 [pop-os/LyypU2jPiL-000032] "GET http://localhost:8080/api/v1/employees/stats HTTP/1.1" from [::1]:46914 - 200 102B in 1.955852ms
2026/08/28 17:43:00 [pop-os/LyypU2jPiL-000033] "GET http://localhost:8080/api/v1/employees HTTP/1.1" from [::1]:46904 - 200 733B in 2.415151ms
2026/08/28 17:43:01 [pop-os/LyypU2jPiL-000034] "GET http://localhost:8080/api/v1/employees/export HTTP/1.1" from [::1]:46922 - 401 41B in 43.916µs
2026/08/28 17:43:05 [pop-os/LyypU2jPiL-000036] "GET http://localhost:8080/api/v1/organization/departments HTTP/1.1" from [::1]:46926 - 404 19B in 298.656µs
2026/08/28 17:43:05 [pop-os/LyypU2jPiL-000037] "GET http://localhost:8080/api/v1/organization/locations HTTP/1.1" from [::1]:46938 - 200 156B in 79.618µs
2026/08/28 17:43:05 [pop-os/LyypU2jPiL-000035] "GET http://localhost:8080/api/v1/employees/designations HTTP/1.1" from [::1]:46930 - 500 41B in 2.074593ms
2026/08/28 17:43:06 [pop-os/LyypU2jPiL-000038] "GET http://localhost:8080/api/v1/organization/departments HTTP/1.1" from [::1]:52442 - 404 19B in 174.113µs
2026/08/28 17:43:09 [pop-os/LyypU2jPiL-000039] "GET http://localhost:8080/api/v1/employees HTTP/1.1" from [::1]:52452 - 200 733B in 3.155229ms
2026/08/28 17:43:11 [pop-os/LyypU2jPiL-000040] "GET http://localhost:8080/api/v1/employees/emp-2 HTTP/1.1" from [::1]:52468 - 200 535B in 2.518953ms
2026/08/28 17:43:12 [pop-os/LyypU2jPiL-000041] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:52472 - 200 612B in 83.741µs
2026/08/28 17:43:14 [pop-os/LyypU2jPiL-000042] "GET http://localhost:8080/api/v1/attendance/daily?date=2026-08-28 HTTP/1.1" from [::1]:52476 - 200 612B in 87.144µs
2026/08/28 17:43:17 [pop-os/LyypU2jPiL-000043] "GET http://localhost:8080/api/v1/documents/employees/emp-2 HTTP/1.1" from [::1]:42274 - 200 594B in 159.422µs
2026/08/28 17:43:17 [pop-os/LyypU2jPiL-000044] "GET http://localhost:8080/api/v1/lifecycle/exits/emp-2/clearance HTTP/1.1" from [::1]:42290 - 200 363B in 147.813µs
2026/08/28 17:43:18 [pop-os/LyypU2jPiL-000045] "GET http://localhost:8080/api/v1/documents/employees/emp-2 HTTP/1.1" from [::1]:42304 - 200 594B in 77.741µs
2026/08/28 17:43:23 [pop-os/LyypU2jPiL-000046] "GET http://localhost:8080/api/v1/lifecycle/exits/emp-2/clearance HTTP/1.1" from [::1]:42316 - 200 363B in 102.902µs
